survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
1972,2019-06-01,"MBTA Customer Opinion Panel","How satisfied are you with the MBTA's communication overall?",1261,"Extremely Dissatisfied",.1437000000,"Very Dissatisfied",.1437000000,"Somewhat Dissatisfied",.1672000000,Neutral,.1357000000,"Somewhat Satisfied",.1877000000,"Very Satisfied",.1751000000,"Extremely Satisfied",.0245000000
1973,2019-06-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",1261,"Extremely Dissatisfied",.1916000000,"Very Dissatisfied",.1916000000,"Somewhat Dissatisfied",.1830000000,Neutral,.0879000000,"Somewhat Satisfied",.1907000000,"Very Satisfied",.1597000000,"Extremely Satisfied",.0247000000
1974,2019-06-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",1256,"Strongly Disagree",.2654000000,Disagree,.2654000000,"Slightly Disagree",.1690000000,"Neither Agree nor Disagree",.0937000000,"Slightly Agree",.1877000000,Agree,.0808000000,"Strongly Agree",.0106000000
1975,2019-06-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",1258,"Extremely Dissatisfied",.1379000000,"Very Dissatisfied",.1379000000,"Somewhat Dissatisfied",.1327000000,Neutral,.1082000000,"Somewhat Satisfied",.1386000000,"Very Satisfied",.2795000000,"Extremely Satisfied",.0705000000
