,date,MODE,RIDERSHIP,COUNTOFDATES,AVG_RIDERSHIP,ROUTE_OR_LINE
5,2018-08-01,Rail,5567712.848775701,23,242074.47168589997,Red Line
0,2018-09-01,Bus,7012630.0,19,369085.78947368,Bus
1,2018-09-01,Bus,712608.0,19,37505.684210526,Silver Line
2,2018-09-01,Rail,1464679.496459,19,77088.394550474,Blue Line
3,2018-09-01,Rail,3358296.840079,19,176752.46526731,Green Line
4,2018-09-01,Rail,4119433.6501039,19,216812.29737389,Orange Line
5,2018-09-01,Rail,4982450.0071252,19,262234.21090132,Red Line
0,2017-04-01,Bus,6911721.0,20,345586.05,Bus
1,2017-04-01,Bus,681787.0,20,34089.35,Silver Line
2,2017-04-01,Rail,1457503.0499145,20,72875.152495727,Blue Line
3,2017-04-01,Rail,3806254.0775363,20,190312.70387681,Green Line
4,2017-04-01,Rail,4311548.240781,20,215577.41203905,Orange Line
5,2017-04-01,Rail,5273278.5125387,20,263663.92562694,Red Line
0,2019-02-01,Bus,6557817.0,19,345148.26315789,Bus
1,2019-02-01,Bus,664304.0,19,34963.368421053,Silver Line
2,2019-02-01,Rail,1325108.7715302,19,69742.566922645,Blue Line
3,2019-02-01,Rail,3084859.198934,19,162361.01047021,Green Line
4,2019-02-01,Rail,3869536.7099822997,19,203659.82684117,Orange Line
5,2019-02-01,Rail,4695638.3573284,19,247138.86091202,Red Line
0,2016-07-01,Bus,7105389.0,20,355269.45,Bus
1,2016-07-01,Bus,744914.0,20,37245.7,Silver Line
2,2016-07-01,Rail,1509610.2448804,20,75480.512244019,Blue Line
3,2016-07-01,Rail,3721467.7775537004,20,186073.38887769,Green Line
4,2016-07-01,Rail,4233094.8607831,20,211654.74303916,Orange Line
5,2016-07-01,Rail,5270208.4405326,20,263510.42202663,Red Line
0,2018-11-01,Bus,7345316.0,21,349776.95238095,Bus
1,2018-11-01,Bus,812104.0,21,38671.619047619,Silver Line
2,2018-11-01,Rail,1499144.9049276002,21,71387.8526156,Blue Line
