date,MODE,RIDERSHIP,COUNTOFDATES,AVG_RIDERSHIP,ROUTE_OR_LINE
2016-07-01,Bus,7105389,20,355269.45,Bus
2016-07-01,Bus,744914,20,37245.7,"Silver Line"
2016-07-01,Rail,1509610.2448804,20,75480.512244019,"Blue Line"
2016-07-01,Rail,3721467.7775537,20,186073.38887769,"Green Line"
2016-07-01,Rail,4233094.8607831,20,211654.74303916,"Orange Line"
2016-07-01,Rail,5270208.4405326,20,263510.42202663,"Red Line"
