date,MODE,RIDERSHIP,COUNTOFDATES,AVG_RIDERSHIP,ROUTE_OR_LINE
2016-06-01,Bus,8606097,22,391186.22727273,Bus
2016-06-01,Bus,845464,22,38430.181818182,"Silver Line"
2016-06-01,Rail,1660877.0057384,22,75494.409351744,"Blue Line"
2016-06-01,Rail,4144063.02731,22,188366.50124136,"Green Line"
2016-06-01,Rail,4860702.6871558,22,220941.03123435,"Orange Line"
2016-06-01,Rail,5881456.1115131,22,267338.91415969,"Red Line"
