date,MODE,RIDERSHIP,COUNTOFDATES,AVG_RIDERSHIP,ROUTE_OR_LINE
2019-04-01,Bus,7708007,22,350363.95454545,Bus
2019-04-01,Bus,836933,22,38042.409090909,"Silver Line"
2019-04-01,Rail,1637314.9592758,22,74423.407239807,"Blue Line"
2019-04-01,Rail,3612424.9755166,22,164201.13525075,"Green Line"
2019-04-01,Rail,4630013.008601,22,210455.13675459,"Orange Line"
2019-04-01,Rail,5524510.8636386,22,251114.13016539,"Red Line"
