date,MODE,RIDERSHIP,COUNTOFDATES,AVG_RIDERSHIP,ROUTE_OR_LINE
2019-05-01,Bus,7899993,22,359090.59090909,Bus
2019-05-01,Bus,865206,22,39327.545454545,"Silver Line"
2019-05-01,Rail,1661778.4794796,22,75535.385430892,"Blue Line"
2019-05-01,Rail,3311065.6016364,22,150502.98189256,"Green Line"
2019-05-01,Rail,4654258.0741672,22,211557.18518942,"Orange Line"
2019-05-01,Rail,5524358.5683084,22,251107.20765038,"Red Line"
