date,MODE,RIDERSHIP,COUNTOFDATES,AVG_RIDERSHIP,ROUTE_OR_LINE
2016-03-01,Bus,8679363,23,377363.60869565,Bus
2016-03-01,Bus,901662,23,39202.695652174,"Silver Line"
2016-03-01,Rail,1510118.4141304,23,65657.322353494,"Blue Line"
2016-03-01,Rail,4387767.8074969,23,190772.51336943,"Green Line"
2016-03-01,Rail,5121815.808271,23,222687.64383787,"Orange Line"
2016-03-01,Rail,6047058.2463706,23,262915.57592916,"Red Line"
