date,MODE,RIDERSHIP,COUNTOFDATES,AVG_RIDERSHIP,ROUTE_OR_LINE
2016-02-01,Bus,7469019,20,373450.95,Bus
2016-02-01,Bus,730265,20,36513.25,"Silver Line"
2016-02-01,Rail,1220639.235535,20,61031.961776748,"Blue Line"
2016-02-01,Rail,3752288.5365029,20,187614.42682514,"Green Line"
2016-02-01,Rail,4379649.0899268,20,218982.45449634,"Orange Line"
2016-02-01,Rail,5132032.1399213,20,256601.60699607,"Red Line"
